日期(年/月),單位,天然氣供給_合計,天然氣供給_自產量,天然氣供給_進口量,天然氣轉變投入_合計,天然氣轉變投入_煉油廠,天然氣轉變投入_發電及汽電,天然氣消費_合計,天然氣消費_能源部門自用,天然氣消費_工業部門,天然氣消費_運輸部門,天然氣消費_農業部門,天然氣消費_服務業部門,天然氣消費_住宅部門,天然氣消費_非能源消費,自產天然氣可供市場銷售之NG1_小計,自產天然氣可供市場銷售之NG1_自產量,自產天然氣可供市場銷售之NG1_由LNG來之調整量,自產天然氣轉變投入_發電及汽電,自產天然氣NG1消費_合計,自產天然氣NG1消費_能源部門自用,自產天然氣NG1消費_工業部門,自產天然氣NG1消費_運輸部門,自產天然氣NG1消費_農業部門,自產天然氣NG1消費_服務業部門,自產天然氣NG1消費_住宅部門,自產天然氣NG1消費_非能源消費,(進口)液化天然氣進口量,(進口)液化天然氣可供市場銷售之NG2可供市場銷售之NG2,(進口)液化天然氣轉變投入_小計,(進口)液化天然氣轉變投入_煉油廠,(進口)液化天然氣轉變投入_發電及汽電,(進口)液化天然氣NG2消費_小計,(進口)液化天然氣NG2消費_能源部門自用,(進口)液化天然氣NG2消費_工業部門,(進口)液化天然氣NG2消費_運輸部門,(進口)液化天然氣NG2消費_農業部門,(進口)液化天然氣NG2消費_服務業部門,(進口)液化天然氣NG2消費_住宅部門,(進口)液化天然氣NG2消費_非能源消費
200401,千立方公尺,565190.8418667875,86044,479146.8418667875,285093.66164735,0,285093.66164735,223878.63335265,37435.5747062,72059.27864645,0,0,28590.573,85793.207,0,138040.375,86044,51996.375,8824.08618134,122367.21081866,1403,25200.36081866,0,0,19551.236,76212.614,0,479146.8418667875,443508.423,276269.57546601,0,276269.57546601,101511.42253399,36032.5747062,46858.91782779,0,0,9039.337,9580.593,0
200402,千立方公尺,652579.3966651564,103770.12,548809.2766651564,318348.23075306,0,318348.23075306,270559.26784694,45485.62089117,84305.49287577,0,0,33889.915,106878.23908,0,154139.205,103770.12,50369.085,10584.24764871,156708.34799129,4053.29992,32604.87911129,0,0,24109.31932,95940.84964,0,548809.2766651564,497129.5014,307763.98310435,0,307763.98310435,113850.91985565,41432.32097117,51700.61376448,0,0,9780.59568,10937.38944,0
200403,千立方公尺,796680.6048935206,87465,709215.6048935206,556518.74090604,0,556518.74090604,236292.37209396,34289.76192235,81976.61417161,0,0,27175.233,92850.763,0,157768.5,87465,70303.5,11739.10580809,133955.02219191,1044.53,31293.74019191,0,0,18932.49,82684.262,0,709215.6048935206,656785.039,544779.63509795,0,544779.63509795,102337.34990205,33245.23192235,50682.8739797,0,0,8242.743,10166.501,0
200404,千立方公尺,852485.7489805166,66944,785541.7489805166,652832.00565816,0,652832.00565816,225758.94434184,35773.23127691,77993.33306493,0,0,26312.637,85679.743,0,129164.375,66944,62220.375,11008.81959356,124928.72340644,916,29735.69240644,0,0,18172.154,76104.877,0,785541.7489805166,774848.162,641823.1860646,0,641823.1860646,100830.2209354,34857.23127691,48257.64065849,0,0,8140.483,9574.866,0
200405,千立方公尺,855412.503851382,61748,793664.503851382,671007.09824562,0,671007.09824562,215721.30975438,41414.94829673,78572.52045765,0,0,22532.034,73201.807,0,109282.0625,61748,47534.0625,9791.29876149,116746.00823851,1294.307,30043.56623851,0,0,17400.824,68007.311,0,793664.503851382,784244.496,661215.79948413,0,661215.79948413,98975.30151587,40120.64129673,48528.95421914,0,0,5131.21,5194.496,0
200406,千立方公尺,844885.537834164,55946,788939.537834164,634124.96852999,0,634124.96852999,214134.77547001,49498.57977307,74485.52869694,0,0,22853.217,67297.45,0,104271.1625,55946,48325.1625,9900.34932212,106671.87167788,934,29085.36567788,0,0,16184.042,60468.464,0,788939.537834164,793907.298,624224.61920787,0,624224.61920787,107462.90379213,48564.57977307,45400.16301906,0,0,6669.175,6828.986,0
200407,千立方公尺,933174.4671499773,60487,872687.4671499773,736933.39341767,0,736933.39341767,214990.41858233,49178.10420882,81425.05737351,0,0,21243.656,63143.601,0,97042.975,60487,36555.975,9792.77594635,103439.59305365,864.364,30577.67105365,0,0,16609.173,55388.385,0,872687.4671499773,822062.045,727140.61747132,0,727140.61747132,111550.82552868,48313.74020882,50847.38631986,0,0,4634.483,7755.216,0
200408,千立方公尺,923481.3253285002,55715,867766.3253285002,736878.48112847,0,736878.48112847,205574.31187153,42155.82425048,81618.54962105,0,0,22989.962,58809.976,0,93516.2375,55715,37801.2375,7566.00716279,98038.31183721,729.175,28765.74783721,0,0,18169.232,50374.157,0,867766.3253285002,880736.307,729312.47396568,0,729312.47396568,107536.00003432,41426.64925048,52852.80178384,0,0,4820.73,8435.819,0
200409,千立方公尺,835417.5677390122,51956,783461.5677390122,622445.43177887,0,622445.43177887,203278.41522113,36914.50454821,80563.72967292,0,0,27570.335,58229.846,0,110403.125,51956,58447.125,6813.85045502,103218.10754498,680.265,29513.45254498,0,0,22635.973,50388.417,0,783461.5677390122,796928.267,615631.58132385,0,615631.58132385,100060.30767615,36234.23954821,51050.27712794,0,0,4934.362,7841.429,0
200410,千立方公尺,767887.1948346171,52257,715630.1948346171,579992.25375282,884,579108.25375282,211122.09224718,37004.41196724,81269.15627994,0,0,24853.493,67995.031,0,111123.75,52257,58866.75,8445.97512438,105543.95087562,513.837,30354.41987562,0,0,16761.999,57913.695,0,715630.1948346171,732111,571546.27862844,884,570662.27862844,105578.14137156,36490.57496724,50914.73640432,0,0,8091.494,10081.336,0
